City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Busselton,AU,2020-10-27 02:32:17,-33.65,115.33,71.01,59,76,5.99
70,Alamogordo,US,2020-10-27 02:32:17,32.9,-105.96,39.2,44,75,10.29
71,Labuhan,ID,2020-10-27 02:32:17,-6.88,112.21,87.8,59,100,5.68
72,Kiruna,SE,2020-10-27 02:32:18,67.86,20.23,26.6,100,1,6.93
73,Airai,TL,2020-10-27 02:32:18,-8.93,125.41,79.02,53,58,3.29
74,Bairnsdale,AU,2020-10-27 02:32:18,-37.83,147.62,59.0,88,100,3.0
75,Grimmen,DE,2020-10-27 02:32:18,54.11,13.04,46.4,93,75,6.93
76,Deputatskiy,RU,2020-10-27 02:32:19,69.3,139.9,4.06,90,100,1.43
77,Turayf,SA,2020-10-27 02:32:19,31.67,38.66,62.6,21,0,9.17
78,Umm Lajj,SA,2020-10-27 02:32:19,25.02,37.27,78.21,49,0,9.48
79,Tasiilaq,GL,2020-10-27 02:32:19,65.61,-37.64,33.8,50,100,19.46
80,Ostrovnoy,RU,2020-10-27 02:32:19,68.05,39.51,41.58,93,100,20.56
81,East London,ZA,2020-10-27 02:32:20,-33.02,27.91,66.92,83,55,19.13
82,Sobolevo,RU,2020-10-27 02:32:20,54.43,31.9,42.42,92,7,9.17
83,New Norfolk,AU,2020-10-27 02:30:26,-42.78,147.06,60.01,50,75,4.0
84,Hilo,US,2020-10-27 02:32:20,19.73,-155.09,75.99,88,90,9.17
85,Nome,US,2020-10-27 02:29:41,64.5,-165.41,35.6,64,1,9.17
86,Benemerito De Las Americas,MX,2020-10-27 02:32:21,16.52,-90.64,73.11,88,100,2.64
87,Provideniya,RU,2020-10-27 02:32:21,64.38,-173.3,33.8,69,90,4.47
88,Punakha,BT,2020-10-27 02:32:21,27.58,89.86,72.12,40,7,0.74
89,Nouakchott,MR,2020-10-27 02:32:21,18.09,-15.98,78.8,24,0,9.37
90,Cockburn Town,TC,2020-10-27 02:32:21,21.46,-71.14,83.05,78,96,19.66
91,Shimoda,JP,2020-10-27 02:32:22,34.67,138.95,68.0,64,75,16.11
92,Griffith,US,2020-10-27 02:32:22,41.53,-87.42,39.2,69,90,4.7
93,Talara,PE,2020-10-27 02:32:22,-4.58,-81.27,64.71,90,49,12.59
94,Leh,IN,2020-10-27 02:32:22,34.17,77.58,33.17,59,0,3.27
95,Saint-Francois,FR,2020-10-27 02:32:23,46.42,3.91,48.2,76,90,4.7
96,Isangel,VU,2020-10-27 02:32:23,-19.55,169.27,84.2,54,75,9.17
97,Lebu,CL,2020-10-27 02:32:23,-37.62,-73.65,51.15,87,100,8.75
98,Estevan,CA,2020-10-27 02:28:31,49.13,-102.98,15.8,85,1,12.75
99,Evensk,RU,2020-10-27 02:32:24,61.95,159.23,32.5,87,100,11.97
100,Boa Vista,BR,2020-10-27 02:30:49,2.82,-60.67,86.0,58,0,8.05
101,Carnarvon,AU,2020-10-27 02:31:16,-24.87,113.63,77.0,57,0,25.28
102,Mackay,AU,2020-10-27 02:32:24,-21.15,149.2,82.0,61,90,6.93
103,Zhuanghe,CN,2020-10-27 02:32:25,39.7,122.99,58.15,35,0,12.28
